"ENSEMBL","ENTREZID"
"ENSG00000001626","1080"
"ENSG00000002330","572"
"ENSG00000003436","7035"
"ENSG00000003989","6542"
"ENSG00000005238","80256"
"ENSG00000005810","23077"
"ENSG00000006047","51087"
"ENSG00000006747","85477"
"ENSG00000007062","8842"
"ENSG00000007237","8522"
"ENSG00000007402","9254"
"ENSG00000007516","8938"
"ENSG00000008710","5310"
"ENSG00000009950","51085"
"ENSG00000010810","2534"
"ENSG00000011201","3730"
"ENSG00000013364","9961"
"ENSG00000018236","1272"
"ENSG00000018510","8540"
"ENSG00000021826","1373"
"ENSG00000023445","330"
"ENSG00000023839","1244"
"ENSG00000024422","30846"
"ENSG00000025039","58528"
"ENSG00000025708","1890"
"ENSG00000026559","3755"
"ENSG00000037280","2324"
"ENSG00000038427","1462"
"ENSG00000040487","54896"
"ENSG00000040608","65078"
"ENSG00000041515","23026"
"ENSG00000041982","3371"
"ENSG00000042062","140876"
"ENSG00000042832","7038"
"ENSG00000043591","153"
"ENSG00000044459","54875"
"ENSG00000049323","4052"
"ENSG00000049769","89801"
"ENSG00000050628","5733"
"ENSG00000051128","9454"
"ENSG00000053108","23105"
"ENSG00000053918","3784"
"ENSG00000054392","55733"
"ENSG00000054598","2296"
"ENSG00000054983","2581"
"ENSG00000055163","26999"
"ENSG00000056558","7185"
"ENSG00000058091","5218"
"ENSG00000058404","816"
"ENSG00000058866","1608"
"ENSG00000061938","10188"
"ENSG00000064655","2139"
"ENSG00000065054","9351"
"ENSG00000065150","3843"
"ENSG00000065320","9423"
"ENSG00000065717","7089"
"ENSG00000065989","5141"
"ENSG00000066735","26153"
"ENSG00000067840","57595"
"ENSG00000069011","5307"
"ENSG00000069188","54549"
"ENSG00000069431","10060"
"ENSG00000069482","51083"
"ENSG00000069702","7049"
"ENSG00000069764","8399"
"ENSG00000069764","100652777"
"ENSG00000070526","55808"
"ENSG00000071205","79658"
"ENSG00000071246","22846"
"ENSG00000071909","140469"
"ENSG00000071967","79901"
"ENSG00000072041","55117"
"ENSG00000072832","1400"
"ENSG00000073282","8626"
"ENSG00000073756","5743"
"ENSG00000073792","10644"
"ENSG00000073849","6480"
"ENSG00000074276","54825"
"ENSG00000074370","489"
"ENSG00000074410","771"
"ENSG00000075884","55843"
"ENSG00000076344","8786"
"ENSG00000076716","2239"
"ENSG00000077092","5915"
"ENSG00000077585","7107"
"ENSG00000078018","4133"
"ENSG00000078053","273"
"ENSG00000078081","27074"
"ENSG00000078295","108"
"ENSG00000078487","55063"
"ENSG00000078804","58476"
"ENSG00000079257","56925"
"ENSG00000079819","2037"
"ENSG00000079931","26002"
"ENSG00000080224","285220"
"ENSG00000080493","8671"
"ENSG00000081052","1286"
"ENSG00000082074","2533"
"ENSG00000082397","23136"
"ENSG00000082482","3776"
"ENSG00000082497","56256"
"ENSG00000082556","4986"
"ENSG00000083520","22894"
"ENSG00000083635","26747"
"ENSG00000083782","1833"
"ENSG00000084674","338"
"ENSG00000085117","3732"
"ENSG00000086619","56605"
"ENSG00000087085","43"
"ENSG00000087128","28983"
"ENSG00000087258","2775"
"ENSG00000088386","6564"
"ENSG00000088451","23483"
"ENSG00000088543","51161"
"ENSG00000088756","79822"
"ENSG00000091536","51168"
"ENSG00000091986","151887"
"ENSG00000092068","23428"
"ENSG00000092421","57556"
"ENSG00000094963","2327"
"ENSG00000095321","1384"
"ENSG00000095383","55357"
"ENSG00000095596","1592"
"ENSG00000096006","10321"
"ENSG00000096060","2289"
"ENSG00000099337","9424"
"ENSG00000099377","80270"
"ENSG00000099814","283638"
"ENSG00000099822","610"
"ENSG00000099849","8045"
"ENSG00000099889","421"
"ENSG00000099953","4320"
"ENSG00000100031","2678"
"ENSG00000100036","339665"
"ENSG00000100167","55964"
"ENSG00000100170","6523"
"ENSG00000100258","91289"
"ENSG00000100299","410"
"ENSG00000100505","114088"
"ENSG00000100599","79890"
"ENSG00000100739","623"
"ENSG00000100842","10278"
"ENSG00000100867","10202"
"ENSG00000101000","10544"
"ENSG00000101144","655"
"ENSG00000101203","57642"
"ENSG00000101384","182"
"ENSG00000101638","29906"
"ENSG00000101850","4935"
"ENSG00000101986","215"
"ENSG00000102109","27344"
"ENSG00000102409","56271"
"ENSG00000102471","54602"
"ENSG00000102554","688"
"ENSG00000102699","143"
"ENSG00000102738","10240"
"ENSG00000102743","10166"
"ENSG00000102763","23078"
"ENSG00000102780","160851"
"ENSG00000102886","79153"
"ENSG00000102962","6367"
"ENSG00000103024","4832"
"ENSG00000103152","4350"
"ENSG00000103154","54550"
"ENSG00000103227","64788"
"ENSG00000103254","65990"
"ENSG00000103316","1428"
"ENSG00000103460","27324"
"ENSG00000103485","23475"
"ENSG00000103723","8120"
"ENSG00000104213","5157"
"ENSG00000104219","51201"
"ENSG00000104313","2138"
"ENSG00000104321","8989"
"ENSG00000104332","6422"
"ENSG00000104432","3574"
"ENSG00000104490","83988"
"ENSG00000104892","147700"
"ENSG00000104953","79816"
"ENSG00000104976","6618"
"ENSG00000105227","57716"
"ENSG00000105290","333"
"ENSG00000105327","27113"
"ENSG00000105388","1048"
"ENSG00000105404","10567"
"ENSG00000105409","478"
"ENSG00000105427","84518"
"ENSG00000105472","6320"
"ENSG00000105499","8605"
"ENSG00000105520","64748"
"ENSG00000105559","57664"
"ENSG00000105655","51477"
"ENSG00000105717","80714"
"ENSG00000105825","7980"
"ENSG00000106236","4885"
"ENSG00000106571","2737"
"ENSG00000106665","7461"
"ENSG00000106688","6505"
"ENSG00000106689","9355"
"ENSG00000106853","22949"
"ENSG00000106927","259"
"ENSG00000107147","57582"
"ENSG00000107249","169792"
"ENSG00000107282","320"
"ENSG00000107295","6456"
"ENSG00000107551","83937"
"ENSG00000107719","27143"
"ENSG00000107816","84445"
"ENSG00000107954","9148"
"ENSG00000108479","2584"
"ENSG00000108679","3959"
