"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant","Ensembl_ID"
"ENSG00000115461",-2.90712968147121,7.04944449257157,-65.9344534493151,1.79306226543882e-23,2.62957710544399e-19,43.6218434106749,"Downregulated","ENSG00000115461"
"ENSG00000153292",2.36535940395082,6.82831616849495,64.497011213953,2.69492913701665e-23,2.62957710544399e-19,43.2466246034316,"Upregulated","ENSG00000153292"
"ENSG00000148346",3.08460470831705,7.40515020437578,59.0096431793449,1.39321638098649e-22,9.0628725583171e-19,41.7745774484639,"Upregulated","ENSG00000148346"
"ENSG00000179222",1.76327881012409,7.38672753101253,51.1384910627352,1.95592206291009e-21,9.54245476442262e-18,39.3619965690457,"Upregulated","ENSG00000179222"
"ENSG00000130508",3.14281935782829,6.44541754592777,48.3023795734981,5.59797066058547e-21,2.18488794882651e-17,37.742229702161,"Upregulated","ENSG00000130508"
"ENSG00000064042",-1.52023026906814,7.2637467464394,-47.1311620334635,8.79794906778052e-21,2.86153293429562e-17,37.9015357621646,"Downregulated","ENSG00000064042"
"ENSG00000138061",2.16652667699957,8.15707851894141,46.2144589775448,1.26311785293316e-20,3.5213921285701e-17,37.5570339488528,"Upregulated","ENSG00000138061"
"ENSG00000008513",1.34051018639205,8.90010823511196,45.3356246920449,1.798548625204e-20,3.91461822207734e-17,37.1868120629903,"Upregulated","ENSG00000008513"
"ENSG00000106541",1.54999140532381,8.62340835957258,45.326316452745,1.80535813470131e-20,3.91461822207734e-17,37.1880470505466,"Upregulated","ENSG00000106541"
"ENSG00000064651",1.79082165511322,7.79107366226255,43.2124335901292,4.34632561727109e-20,8.11680991812219e-17,36.3213171441965,"Upregulated","ENSG00000064651"
"ENSG00000134824",1.78785434238245,7.6561692220759,43.091997333995,4.57519390721723e-20,8.11680991812219e-17,36.2710334483645,"Upregulated","ENSG00000134824"
"ENSG00000205542",2.56116796130041,7.07612847449977,41.5930803303826,8.77041474832091e-20,1.42628869844569e-16,35.6071826223305,"Upregulated","ENSG00000205542"
"ENSG00000117318",-3.7693985292784,5.24735536587498,-41.3054860263135,9.96285581815254e-20,1.49557793300959e-16,34.4069543396275,"Downregulated","ENSG00000117318"
"ENSG00000133863",-1.4215946126479,6.84098966222671,-40.8282572261276,1.2333657421374e-19,1.62549576827938e-16,35.2811470329328,"Downregulated","ENSG00000133863"
"ENSG00000120875",2.30576028494729,7.33145218681766,40.7995186873795,1.24942026770129e-19,1.62549576827938e-16,35.2574227692282,"Upregulated","ENSG00000120875"
"ENSG00000121039",1.50727641913117,7.84936190434744,40.3374998345901,1.54007239190924e-19,1.86740846283194e-16,35.0468322169586,"Upregulated","ENSG00000121039"
"ENSG00000106853",-1.48794619744762,6.58686903010804,-40.2173986535146,1.62674577853666e-19,1.86740846283194e-16,35.0046843770598,"Downregulated","ENSG00000106853"
"ENSG00000173706",-4.76005311149379,4.53091985654806,-39.873291075586,1.90473870333849e-19,2.06505421086948e-16,32.9274933552661,"Downregulated","ENSG00000173706"
"ENSG00000186806",-1.66336688332872,6.83285486207411,-39.2827826873993,2.50478948532204e-19,2.57268246347682e-16,34.5733593840199,"Downregulated","ENSG00000186806"
"ENSG00000182054",1.51957217778591,7.31358744205191,39.0684943019541,2.76926331948882e-19,2.70210868399122e-16,34.4728809273517,"Upregulated","ENSG00000182054"
"ENSG00000165092",-1.21852837122171,9.03114912079489,-38.4647331415967,3.68516046437805e-19,3.42456697439703e-16,34.0466637546858,"Downregulated","ENSG00000165092"
"ENSG00000087086",-0.919734674600001,11.0135427908078,-37.5609665450929,5.6991403985723e-19,5.05539658536992e-16,33.4796796434928,"Not Significant","ENSG00000087086"
"ENSG00000183508",2.61061097755079,5.06930107684126,36.694933773837,8.73922128117964e-19,7.4150392740096e-16,32.8823854527556,"Upregulated","ENSG00000183508"
"ENSG00000065154",1.72999079670956,6.35112869313227,36.3104633288456,1.05991096802611e-18,8.61840105876231e-16,33.124906170799,"Upregulated","ENSG00000065154"
"ENSG00000114770",-1.05932648680028,7.80496248652564,-35.5788254105175,1.53867092421185e-18,1.18823585313288e-15,32.6991158097164,"Downregulated","ENSG00000114770"
"ENSG00000122085",-2.19471998875934,5.19044147236373,-35.523547087909,1.58309670414834e-18,1.18823585313288e-15,32.6361364889808,"Downregulated","ENSG00000122085"
"ENSG00000144381",-0.929021110485834,9.82870835578857,-35.3266889884195,1.75259899966549e-18,1.2631150444449e-15,32.4148337658491,"Not Significant","ENSG00000144381"
"ENSG00000165186",-1.82732751756154,5.2769967349693,-35.262082927257,1.81230956927785e-18,1.2631150444449e-15,32.5009168452859,"Downregulated","ENSG00000165186"
"ENSG00000099194",1.16296439758497,10.0048827464831,34.710016043559,2.41896501284251e-18,1.62779662846971e-15,32.0853097587863,"Upregulated","ENSG00000099194"
"ENSG00000152270",-1.68372838391095,5.61991735959465,-34.521109770261,2.67290340714114e-18,1.73872366634531e-15,32.1965068551531,"Downregulated","ENSG00000152270"
"ENSG00000171346",3.04412480814617,4.83362969435218,34.2840279002473,3.03193747079276e-18,1.90865354008132e-15,31.527678445052,"Upregulated","ENSG00000171346"
"ENSG00000198848",-1.03232183072755,8.68034914858217,-34.0890535900896,3.36520466835761e-18,1.99030933869618e-15,31.823621987825,"Downregulated","ENSG00000198848"
"ENSG00000114251",-1.21036260363238,8.90901975727152,-34.0888196982892,3.36562686020876e-18,1.99030933869618e-15,31.8373582314041,"Downregulated","ENSG00000114251"
"ENSG00000150893",-2.2529003388227,5.17102801841784,-33.8965503433824,3.73229474484283e-18,2.09614742320883e-15,31.8019044218246,"Downregulated","ENSG00000150893"
"ENSG00000173391",-1.73074726515053,6.61425663367582,-33.8831237740595,3.7594240231775e-18,2.09614742320883e-15,31.864991195716,"Downregulated","ENSG00000173391"
"ENSG00000109861",-1.10011866861925,8.42321834686021,-33.7742373947851,3.98725807768406e-18,2.16142614961123e-15,31.6833243455678,"Downregulated","ENSG00000109861"
"ENSG00000096006",2.98007009540883,5.63463581210512,33.5953301054567,4.3937318957674e-18,2.31739670124056e-15,31.067751004145,"Upregulated","ENSG00000096006"
"ENSG00000171345",1.37777297185136,7.91070252060445,33.484010753216,4.66848255185738e-18,2.39681046072306e-15,31.5880978169736,"Upregulated","ENSG00000171345"
"ENSG00000047457",1.70674325089932,8.00658737412119,33.4150227002527,4.84778596998666e-18,2.39681046072306e-15,31.5435785692417,"Upregulated","ENSG00000047457"
"ENSG00000117461",1.26902143220132,7.48073768174951,33.3856518429381,4.92630994792443e-18,2.39681046072306e-15,31.5505153389505,"Upregulated","ENSG00000117461"
"ENSG00000164292",-1.48558901813268,6.77804559352654,-33.3455930638104,5.03557411681505e-18,2.39681046072306e-15,31.5473967848086,"Downregulated","ENSG00000164292"
"ENSG00000125462",-1.30857975052792,6.9400289466892,-33.0723916309026,5.85224105047364e-18,2.71920200238079e-15,31.3853124306385,"Downregulated","ENSG00000125462"
"ENSG00000152104",-0.986863270600991,7.56536753610375,-32.9119077000298,6.39600589498441e-18,2.90274546606095e-15,31.2623221169238,"Not Significant","ENSG00000152104"
"ENSG00000137767",1.33514351408081,5.96711851566811,32.588155853575,7.66141372627155e-18,3.39801111064067e-15,31.1564482810628,"Upregulated","ENSG00000137767"
"ENSG00000074410",2.15316454450225,6.13689851067205,32.5298040195291,7.9162510751128e-18,3.39880108669466e-15,31.1134517649063,"Upregulated","ENSG00000074410"
"ENSG00000104427",2.33183007902453,5.34274657543613,32.5084956110302,8.01152190560874e-18,3.39880108669466e-15,31.009205194687,"Upregulated","ENSG00000104427"
