"hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ensembl_ID"
"MEOX1",-1.67910119467537,0.574381741341389,-2.26543854486005,0.042701362647174,0.999980315117939,-4.53912383277066,"ENSG00000005102"
"PRKAR2B",-1.70388635006923,0.240707000929098,-0.878233644797148,0.396988846503185,0.999980315117939,-4.59878756446576,"ENSG00000005249"
"CAMK1G",1.55169550314317,0.103723135007871,4.2475845403322,0.00112161269507918,0.999980315117939,-4.48864267777292,"ENSG00000008118"
"ANOS1",-2.12272276375714,-0.633403085137098,-0.60216227213782,0.558225819298022,0.999980315117939,-4.6005363452511,"ENSG00000011201"
"DCN",-1.18726764524117,2.88395352848586,-0.692731900725197,0.501609186434218,0.999980315117939,-4.63107501046222,"ENSG00000011465"
"GABRA3",-1.58211509867957,0.493279932960653,-0.620077327881524,0.546753200492457,0.999980315117939,-4.60672053199665,"ENSG00000011677"
"LTF",1.48466517614698,0.849791800660406,1.17405366789484,0.263053151545322,0.999980315117939,-4.58720299432332,"ENSG00000012223"
"RRAGD",1.1047758516213,0.981704276677004,2.88718285174738,0.0135950952874814,0.999980315117939,-4.46695979350844,"ENSG00000025039"
"POU2F2",1.30434520646434,1.30926813456405,0.977172147655027,0.347692381490458,0.999980315117939,-4.59767378750757,"ENSG00000028277"
"IKZF2",-1.87492888429115,-0.445746971854704,-1.31452787939413,0.213136639701397,0.999980315117939,-4.5887117542857,"ENSG00000030419"
"VCAN",-1.73244126001775,3.20604377132972,-0.4029891872903,0.694013667580896,0.999980315117939,-4.65655300213721,"ENSG00000038427"
"SOX30",-1.085823448273,-2.01358834158668,-0.766742951852575,0.457991910456809,0.999980315117939,-4.59689149283623,"ENSG00000039600"
"ROS1",-1.09999773916564,-2.0049944180948,-0.412948903293133,0.686896394147428,0.999980315117939,-4.59876862814799,"ENSG00000047936"
"UTS2",-2.37541005112833,-1.95095717332325,-1.61416168734861,0.132354249626799,0.999980315117939,-4.5897497349825,"ENSG00000049247"
"CYBA",-3.52644019129542,-0.296883162270736,-0.941982408096032,0.364701997208793,0.999980315117939,-4.59605425928593,"ENSG00000051523"
"RASGRF1",-1.01719281340198,-0.787573024365476,-0.670245841077638,0.515339638256602,0.999980315117939,-4.60010677368189,"ENSG00000058335"
"MXD1",1.0451016696121,3.95546151369866,2.10278565548058,0.0571649133119807,0.999980315117939,-4.371370899077,"ENSG00000059728"
"EYA2",-2.84631574450768,-3.64434688633575,-1.22738904565929,0.243112640017395,0.999980315117939,-4.59426479805063,"ENSG00000064655"
"PDZD4",1.17592124179205,2.37206874114242,1.29566714922689,0.21935742203505,0.999980315117939,-4.56567339679736,"ENSG00000067840"
"SPTB",-1.62780736491769,-1.29773315863778,-0.669611980846953,0.515729857699437,0.999980315117939,-4.5984847639138,"ENSG00000070182"
"PTGS2",1.63817066700727,3.36848682322659,3.03713786977728,0.0102838478476823,0.999980315117939,-4.24599220409416,"ENSG00000073756"
"ADD2",1.60381545930069,-2.69726060100999,0.655911225055553,0.524206516324262,0.999980315117939,-4.59681421234241,"ENSG00000075340"
"AMPH",-1.59043905633915,0.0930627104077847,-0.50582033943308,0.622107334893823,0.999980315117939,-4.60597476722563,"ENSG00000078053"
"FAP",-4.29971633630302,0.737299775742859,-2.07526625742396,0.0600275593605265,0.999980315117939,-4.56704614119801,"ENSG00000078098"
"ITM2A",1.90725810323625,-3.04677454969903,0.787796813442557,0.446034366305227,0.999980315117939,-4.59603080453977,"ENSG00000078596"
"SLC4A4",-1.57191365683444,-1.03910093262107,-0.752527406137441,0.466179401191329,0.999980315117939,-4.59823474606088,"ENSG00000080493"
"SERTAD4",-1.12087663424616,0.369022494919544,-0.415761175505437,0.684892348537312,0.999980315117939,-4.6107728157643,"ENSG00000082497"
"COL16A1",-1.46668068198466,4.29786994035898,-1.04605551141118,0.316063417405309,0.999980315117939,-4.59658720002778,"ENSG00000084636"
"PPP1R15A",1.01825697986737,8.08000383865781,3.18769696807543,0.00777071834647582,0.999980315117939,-3.90502694761696,"ENSG00000087074"
"HSD17B14",1.14198055836117,-0.281931244379723,0.485323915980785,0.636149671671497,0.999980315117939,-4.60465762296921,"ENSG00000087076"
"ADAMTS2",-1.33974775225326,1.79955326722916,-0.449887760322311,0.660776625608977,0.999980315117939,-4.62979845396341,"ENSG00000087116"
"MMP2",-1.66899607399831,3.85478854344374,-0.51187572055468,0.61798791178693,0.999980315117939,-4.66322487845782,"ENSG00000087245"
"HEPH",-1.24091103780454,-3.16372684216075,-0.847135142160504,0.41342702275713,0.999980315117939,-4.59577508401824,"ENSG00000089472"
"CHRD",1.05440540943891,-1.97489214208377,1.24137593701268,0.238086324173705,0.999980315117939,-4.59291160340476,"ENSG00000090539"
"SLC22A17",1.12809371630145,4.03419374043255,2.21918070451435,0.0464168510380208,0.999980315117939,-4.33939944874122,"ENSG00000092096"
"PALMD",1.30265783034297,1.34194408824108,0.569466566137291,0.579499557862679,0.999980315117939,-4.61886216284838,"ENSG00000099260"
"TSPAN15",2.09154119409808,0.634293473123887,1.08036339712429,0.30112703325388,0.999980315117939,-4.59257234927359,"ENSG00000099282"
"MACROH2A2",1.23407119739825,-3.68558243674306,0.724286451157663,0.482714560044709,0.999980315117939,-4.59600236201753,"ENSG00000099284"
"MMP11",-1.13486796739569,-0.00971180313859458,-0.663227636762747,0.519669844059049,0.999980315117939,-4.60339927427386,"ENSG00000099953"
"SUSD2",-1.7966769798738,-0.871584387535325,-0.938899541142335,0.366219698794595,0.999980315117939,-4.59605667714405,"ENSG00000099994"
"GGT5",-2.40078782926496,-2.34280111404415,-1.53609531631895,0.150343633687321,0.999980315117939,-4.59140642231183,"ENSG00000099998"
"CYTH4",1.08051218022098,-2.46930675834849,0.680782174615122,0.508878622628068,0.999980315117939,-4.59697634769433,"ENSG00000100055"
"PDGFB",-1.04625138660298,1.98744496120931,-0.775022386517826,0.453265535960459,0.999980315117939,-4.61521569842497,"ENSG00000100311"
"EFS",1.25772603020557,-2.1962199960196,0.515073569855435,0.615817887694247,0.999980315117939,-4.59806987538434,"ENSG00000100842"
"BMP7",1.02052791779378,-3.79901233491256,0.611445622421107,0.552264384625255,0.999980315117939,-4.59624251255644,"ENSG00000101144"
"RSPO4",1.2481041504998,-3.48244016750198,0.653134540083744,0.52593423046699,0.999980315117939,-4.59629933373253,"ENSG00000101282"
"ST8SIA5",-1.28194465519389,-2.50828520885079,-0.864284913356912,0.404306291247089,0.999980315117939,-4.59593336272174,"ENSG00000101638"
"CHRDL1",1.36505634209804,5.01908582330685,0.554970205305434,0.589067582931889,0.999980315117939,-4.687707030555,"ENSG00000101938"
"KLHL4",-2.8317264333621,-3.94034144356661,-1.1582556667424,0.269198290553424,0.999980315117939,-4.59455860521925,"ENSG00000102271"
"BEX4",1.99465908867891,-2.57439436457698,0.788738422565186,0.445504300016142,0.999980315117939,-4.5962562769215,"ENSG00000102409"
"HTR2A",2.03508160847106,-1.78251857520197,1.22464134932773,0.244109872084209,0.999980315117939,-4.59303538532569,"ENSG00000102468"
"ACP5",1.59590623799682,-0.584454031318877,1.48067012243848,0.164358798878588,0.999980315117939,-4.58505642593734,"ENSG00000102575"
"FGF9",-1.05324612992973,-1.7841353787826,-0.422986949291177,0.679754706123838,0.999980315117939,-4.5993103117757,"ENSG00000102678"
"SALL1",1.17088122140953,-1.51148462011183,0.395444658590773,0.699425428998813,0.999980315117939,-4.60017310621103,"ENSG00000103449"
"QPRT",-1.79927970062117,1.66511962658598,-1.78997645529928,0.0985946662190607,0.999980315117939,-4.5300237207944,"ENSG00000103485"
"IL21R",-2.45147974185322,0.85655492703822,-1.38204219027393,0.192038745741748,0.999980315117939,-4.58018172751692,"ENSG00000103522"
"SYT17",1.53564182005314,-2.27467892875068,1.42684888717368,0.179015086075904,0.999980315117939,-4.59175227418882,"ENSG00000103528"
