"hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ensembl_ID"
"MEOX1",-1.67910119467537,0.574381741341389,-2.26543854486005,0.042701362647174,0.999980315117939,-4.53912383277066,"ENSG00000005102"
"PRKAR2B",-1.70388635006923,0.240707000929098,-0.878233644797148,0.396988846503185,0.999980315117939,-4.59878756446576,"ENSG00000005249"
"ANOS1",-2.12272276375714,-0.633403085137098,-0.60216227213782,0.558225819298022,0.999980315117939,-4.6005363452511,"ENSG00000011201"
"DCN",-1.18726764524117,2.88395352848586,-0.692731900725197,0.501609186434218,0.999980315117939,-4.63107501046222,"ENSG00000011465"
"GABRA3",-1.58211509867957,0.493279932960653,-0.620077327881524,0.546753200492457,0.999980315117939,-4.60672053199665,"ENSG00000011677"
"IKZF2",-1.87492888429115,-0.445746971854704,-1.31452787939413,0.213136639701397,0.999980315117939,-4.5887117542857,"ENSG00000030419"
"VCAN",-1.73244126001775,3.20604377132972,-0.4029891872903,0.694013667580896,0.999980315117939,-4.65655300213721,"ENSG00000038427"
"SOX30",-1.085823448273,-2.01358834158668,-0.766742951852575,0.457991910456809,0.999980315117939,-4.59689149283623,"ENSG00000039600"
"ROS1",-1.09999773916564,-2.0049944180948,-0.412948903293133,0.686896394147428,0.999980315117939,-4.59876862814799,"ENSG00000047936"
"UTS2",-2.37541005112833,-1.95095717332325,-1.61416168734861,0.132354249626799,0.999980315117939,-4.5897497349825,"ENSG00000049247"
"CYBA",-3.52644019129542,-0.296883162270736,-0.941982408096032,0.364701997208793,0.999980315117939,-4.59605425928593,"ENSG00000051523"
"RASGRF1",-1.01719281340198,-0.787573024365476,-0.670245841077638,0.515339638256602,0.999980315117939,-4.60010677368189,"ENSG00000058335"
"EYA2",-2.84631574450768,-3.64434688633575,-1.22738904565929,0.243112640017395,0.999980315117939,-4.59426479805063,"ENSG00000064655"
"SPTB",-1.62780736491769,-1.29773315863778,-0.669611980846953,0.515729857699437,0.999980315117939,-4.5984847639138,"ENSG00000070182"
"AMPH",-1.59043905633915,0.0930627104077847,-0.50582033943308,0.622107334893823,0.999980315117939,-4.60597476722563,"ENSG00000078053"
"FAP",-4.29971633630302,0.737299775742859,-2.07526625742396,0.0600275593605265,0.999980315117939,-4.56704614119801,"ENSG00000078098"
"SLC4A4",-1.57191365683444,-1.03910093262107,-0.752527406137441,0.466179401191329,0.999980315117939,-4.59823474606088,"ENSG00000080493"
"SERTAD4",-1.12087663424616,0.369022494919544,-0.415761175505437,0.684892348537312,0.999980315117939,-4.6107728157643,"ENSG00000082497"
"COL16A1",-1.46668068198466,4.29786994035898,-1.04605551141118,0.316063417405309,0.999980315117939,-4.59658720002778,"ENSG00000084636"
"ADAMTS2",-1.33974775225326,1.79955326722916,-0.449887760322311,0.660776625608977,0.999980315117939,-4.62979845396341,"ENSG00000087116"
"MMP2",-1.66899607399831,3.85478854344374,-0.51187572055468,0.61798791178693,0.999980315117939,-4.66322487845782,"ENSG00000087245"
"HEPH",-1.24091103780454,-3.16372684216075,-0.847135142160504,0.41342702275713,0.999980315117939,-4.59577508401824,"ENSG00000089472"
"MMP11",-1.13486796739569,-0.00971180313859458,-0.663227636762747,0.519669844059049,0.999980315117939,-4.60339927427386,"ENSG00000099953"
"SUSD2",-1.7966769798738,-0.871584387535325,-0.938899541142335,0.366219698794595,0.999980315117939,-4.59605667714405,"ENSG00000099994"
"GGT5",-2.40078782926496,-2.34280111404415,-1.53609531631895,0.150343633687321,0.999980315117939,-4.59140642231183,"ENSG00000099998"
"PDGFB",-1.04625138660298,1.98744496120931,-0.775022386517826,0.453265535960459,0.999980315117939,-4.61521569842497,"ENSG00000100311"
"ST8SIA5",-1.28194465519389,-2.50828520885079,-0.864284913356912,0.404306291247089,0.999980315117939,-4.59593336272174,"ENSG00000101638"
"KLHL4",-2.8317264333621,-3.94034144356661,-1.1582556667424,0.269198290553424,0.999980315117939,-4.59455860521925,"ENSG00000102271"
"FGF9",-1.05324612992973,-1.7841353787826,-0.422986949291177,0.679754706123838,0.999980315117939,-4.5993103117757,"ENSG00000102678"
"QPRT",-1.79927970062117,1.66511962658598,-1.78997645529928,0.0985946662190607,0.999980315117939,-4.5300237207944,"ENSG00000103485"
"IL21R",-2.45147974185322,0.85655492703822,-1.38204219027393,0.192038745741748,0.999980315117939,-4.58018172751692,"ENSG00000103522"
"CEMIP",-1.59996934590448,2.83928811924916,-0.560895815341729,0.585146566570197,0.999980315117939,-4.64002552549268,"ENSG00000103888"
"NDRG1",-1.53151758615376,4.18101363688498,-0.901163332258129,0.385157119541031,0.999980315117939,-4.62084877869682,"ENSG00000104419"
"CFAP69",-1.00402213535245,0.203996147381103,-1.56575828048127,0.143273529417411,0.999980315117939,-4.57408764959626,"ENSG00000105792"
"ITGB8",-1.28451246587622,-1.90100324357331,-0.5647183695252,0.582624436418721,0.999980315117939,-4.59822158830673,"ENSG00000105855"
"ECM2",-1.72480244197885,0.290649497180117,-1.17663758938075,0.262058519275902,0.999980315117939,-4.58975419303428,"ENSG00000106823"
"ENG",-1.12656768097033,5.43276723873384,-1.78368864008429,0.099654867146718,0.999980315117939,-4.39175882860795,"ENSG00000106991"
"ALDH3A1",-1.61435196834076,-1.72074413141516,-0.585594479585382,0.568952177197538,0.999980315117939,-4.59840821450768,"ENSG00000108602"
"CCL2",-1.53996103814057,0.0298322937081857,-0.463601615206229,0.6511945749253,0.999980315117939,-4.60612725347243,"ENSG00000108691"
"SLC38A1",-1.1132095129415,5.82690539903534,-0.813206832543999,0.431872577975243,0.999980315117939,-4.65575973785505,"ENSG00000111371"
"VDR",-1.58149027300011,1.92340895145947,-0.901269640109267,0.385102836054033,0.999980315117939,-4.60461564522879,"ENSG00000111424"
"NEDD9",-2.28179447571318,1.45567364133688,-0.844079829415698,0.415066255874884,0.999980315117939,-4.60388623045072,"ENSG00000111859"
"TPD52L1",-1.22943264020781,0.53761746549033,-0.535521360157897,0.602032376149255,0.999980315117939,-4.61011064839086,"ENSG00000111907"
"BMP5",-3.54854234783154,-3.398129248183,-2.06054738735389,0.0616130993795179,0.999980315117939,-4.59027956269299,"ENSG00000112175"
"LAMA4",-1.75593042534578,2.44329959664466,-2.46823551111516,0.0295130840685912,0.999980315117939,-4.41451513989538,"ENSG00000112769"
"RASGRF2",-3.72924244200593,-2.38308117836559,-1.96852753076996,0.0724422450699437,0.999980315117939,-4.58930442473189,"ENSG00000113319"
"ST8SIA4",-2.29460302534536,-2.01578628503583,-1.62204071172248,0.130647239920466,0.999980315117939,-4.58985920326757,"ENSG00000113532"
"PDGFRB",-1.07906667293357,1.82541322394923,-0.33656711768936,0.742231524240676,0.999980315117939,-4.63520123623892,"ENSG00000113721"
"WNT5A",-1.96871039139398,3.82666186247561,-0.832775224161273,0.421169005348562,0.999980315117939,-4.62577612301403,"ENSG00000114251"
"PEX5L",-2.70984660653293,-1.66205678708299,-3.00269421380209,0.0109649624006849,0.999980315117939,-4.57446692943994,"ENSG00000114757"
"GCA",-1.19445479108135,-0.925234195062184,-1.23301796240083,0.241079803443796,0.999980315117939,-4.59134794111791,"ENSG00000115271"
"LOXL3",-1.74424879512405,4.92686817652047,-1.28073298185974,0.224386735463991,0.999980315117939,-4.54535723494486,"ENSG00000115318"
"IGFBP5",-2.97105540430766,1.49332529115534,-1.12580130633283,0.282170126802574,0.999980315117939,-4.58962410936761,"ENSG00000115461"
"FHL2",-1.09108043042351,4.19485379402013,-0.44887177935122,0.661489036039397,0.999980315117939,-4.68050837043665,"ENSG00000115641"
"PLCL1",-1.36702294898959,-2.05717725214262,-0.826725049771095,0.424459465538551,0.999980315117939,-4.59640799503399,"ENSG00000115896"
"SLC1A4",-1.15493390274938,4.48603448344691,-0.966663282983458,0.352711532461653,0.999980315117939,-4.61291132858588,"ENSG00000115902"
"OLFML3",-1.88364039808659,0.481261624632714,-1.09795415007554,0.29367715990165,0.999980315117939,-4.59212761575518,"ENSG00000116774"
